Country,Population,Percentage of World,Date Updated
China,1411750000,0.1750727201296859,31 Dec 2022
India,1392329000,0.17266429987281418,1 Mar 2023
United States,335466000,0.041601519483637474,5 Oct 2023
Indonesia,278696200,0.03456143214011473,1 Jul 2023
Pakistan,241499431,0.029948618590360465,1 Mar 2023
Nigeria,216783400,0.02688355552821799,21 Mar 2022
Brazil,203062512,0.025182012631278186,1 Aug 2022
Bangladesh,169828911,0.02106067604422336,14 Jun 2022
Russia,146424729,0.018158296865792175,1 Jan 2023
Mexico,129202482,0.01602254646449214,30 Jun 2023
Japan,124450000,0.015433185776617253,1 Sep 2023
Philippines,110717000,0.013730140856807814,5 Oct 2023
Ethiopia,107334000,0.01331061118639965,1 Jul 2023
Egypt,105388000,0.013069285517285168,5 Oct 2023
Vietnam,100000000,0.012401113520785259,Apr 2023
DR Congo,95370000,0.011826941964772901,1 Jul 2019
Iran,85298600,0.010577976217640535,5 Oct 2023
Turkey,85279553,0.01057561417754823,31 Dec 2022
Germany,84482267,0.010476741835602902,30 Jun 2023
Thailand,68263022,0.008465374850938616,1 Jul 2021
France,68184000,0.008455575243012221,1 Sep 2023
United Kingdom,67026292,0.008312006559693007,30 Jun 2021
Tanzania,61741120,0.007656586380204252,23 Aug 2022
South Africa,60604992,0.007515693857182824,1 Jul 2022
Italy,58780965,0.007289494198263051,31 Jul 2023
Myanmar,55770232,0.006916129781125307,1 Jul 2022
Colombia,52215503,0.006475303802479032,30 Jun 2023
Kenya,51526000,0.006389797752719812,1 Jan 2023
South Korea,51439038,0.006379013496379867,31 Dec 2022
Spain,48345223,0.005995345986106785,1 Jul 2023
Argentina,46654581,0.00578568755245671,1 Jul 2023
Algeria,45400000,0.005630105538436507,1 Jan 2022
Iraq,43324000,0.005372658421745005,1 Jul 2023
Uganda,42885900,0.005318329143410445,1 Jul 2021
Sudan,41984500,0.005206545506134087,1 Jul 2018
Ukraine,41130432,0.005100631563909387,1 Feb 2022
Canada,40403700,0.005010508703597513,5 Oct 2023
Poland,37691000,0.004674103697119172,31 Jul 2023
Morocco,37113500,0.004602487266536637,5 Oct 2023
Uzbekistan,36372276,0.004510567236853331,1 Jul 2023
Afghanistan,34262840,0.00424897368384502,1 Jan 2023
Peru,33396698,0.00414156243117382,1 Jul 2022
Malaysia,33379500,0.004139429687670515,30 Jun 2023
Angola,33086278,0.004103066894582598,30 Jun 2022
Mozambique,32419747,0.004020409628621373,1 Jul 2022
Saudi Arabia,32175224,0.003990086053806944,10 May 2022
Yemen,31888698,0.003954553639280378,1 Jul 2022
Ghana,30832019,0.0038235136769400797,27 Jun 2021
Ivory Coast,29389150,0.003644581854293861,14 Dec 2021
Nepal,29164578,0.003616732425637963,25 Nov 2021
Venezuela,28302000,0.003509763148652644,30 Jun 2019
Cameroon,28088845,0.003483329555127414,1 Jul 2023
Madagascar,26923353,0.0033387955691317433,1 Jul 2021
Australia,26781100,0.0033211546131150208,5 Oct 2023
North Korea,25660000,0.003182125729433497,1 Jul 2021
Niger,25369415,0.0031460899537091233,1 Jul 2023
Taiwan,23399654,0.0029018176560109687,31 Aug 2023
Syria,22923000,0.0028427072523696047,1 Jul 2021
Mali,22395489,0.002777290014424975,15 Jun 2022
Burkina Faso,22185654,0.0027512681378686356,1 Jul 2022
Sri Lanka,22037000,0.0027328333865754475,1 Jul 2023
Malawi,21507723,0.002667197144966041,1 Jul 2022
Chile,19960889,0.002475372504647937,30 Jun 2023
Kazakhstan,19944726,0.002473368112669573,1 Sep 2023
Zambia,19610769,0.002431953725988964,14 Sep 2022
Romania,19051562,0.0023626058311027862,1 Jan 2023
Ecuador,18380600,0.002279399071801455,5 Oct 2023
Senegal,18275743,0.0022663956361969654,1 Jul 2023
Somalia,18143379,0.002249981026296313,1 Jul 2023
Netherlands,17932900,0.0022238792865688995,5 Oct 2023
Guatemala,17602431,0.0021828974507278956,1 Jul 2023
Chad,17414717,0.002159618824493489,1 Jul 2022
Cambodia,17091464,0.0021195318530041448,1 Jul 2023
Zimbabwe,15178979,0.001882362417086155,20 Apr 2022
Guinea,13261638,0.0016445907830955958,1 Jul 2022
South Sudan,13249924,0.0016431381166577708,1 Jul 2020
Rwanda,13246394,0.0016427003573504873,15 Aug 2022
Burundi,12837740,0.0015920227109032575,1 Jul 2022
Benin,12606998,0.0015634081335431271,1 Jul 2023
Bolivia,12006031,0.0014888815336506695,1 Jul 2022
Tunisia,11850232,0.0014695607227964214,1 Jan 2023
Papua New Guinea,11781559,0.0014610445061082925,1 Jul 2021
Belgium,11772639,0.0014599383267822385,1 Aug 2023
Haiti,11743017,0.0014562648689351114,1 Jul 2020
Jordan,11482900,0.0014240074644782505,5 Oct 2023
Cuba,11089511,0.0013752228480099686,31 Dec 2022
Czech Republic,10873553,0.0013484416512727511,30 Jun 2023
Dominican Republic,10760028,0.0013343632871482796,10 Nov 2022
Sweden,10548336,0.0013081111219138588,1 Aug 2023
Greece,10482487,0.001299945112671557,22 Oct 2021
Portugal,10467366,0.001298069940296079,31 Dec 2022
Azerbaijan,10151517,0.001258901147251814,1 Jul 2023
Tajikistan,10077600,0.0012497346161706553,1 Jan 2023
Israel,9795000,0.001214689069360916,31 Jul 2023
Honduras,9745149,0.0012085069902596694,1 Jul 2023
Hungary,9597085,0.001190145405536254,1 Jan 2023
United Arab Emirates,9282410,0.001151122201564723,31 Dec 2020
Belarus,9200617,0.001140978958782667,1 Jan 2023
Austria,9129652,0.0011321785085726419,1 Jul 2023
Switzerland,8902308,0.0011039853210499477,30 Jun 2023
Sierra Leone,8494260,0.001053382825350654,1 Jul 2022
Togo,8095498,0.0010039318970529,8 Nov 2022
Hong Kong (China),7498100,0.0009298478929019994,30 Jun 2023
Laos,7443000,0.0009230148793520468,1 Jul 2022
Kyrgyzstan,7100000,0.0008804790599757533,1 Mar 2023
Turkmenistan,7057841,0.0008752508745265255,17 Dec 2022
Libya,6931061,0.000859528742804874,1 Jan 2020
El Salvador,6884888,0.0008538027766589217,1 Jul 2022
Nicaragua,6733763,0.000835061593850635,30 Jun 2022
Serbia,6641197,0.000823582379108985,1 Jan 2023
Bulgaria,6447710,0.0007995878365910232,31 Dec 2022
Paraguay,6109644,0.0007576638881558453,10 Nov 2022
Congo,6106869,0.0007573197572556435,1 Jul 2023
Denmark,5944145,0.0007371401692900809,1 Jul 2023
Singapore,5917600,0.0007338482937059884,30 Jun 2023
Central African Republic,5633412,0.0006986058172135393,1 Jul 2020
Finland,5557272,0.0006891636093788134,31 Aug 2023
Norway,5514042,0.0006838026080037779,30 Jun 2023
Lebanon,5490000,0.0006808211322911106,1 Jul 2021
Palestine,5483450,0.0006800088593554993,1 Jan 2023
Slovakia,5426352,0.0006729280715574013,30 Jun 2023
Ireland,5281600,0.0006549772117137942,1 Apr 2023
Costa Rica,5262225,0.000652574495969142,30 Jun 2023
New Zealand,5223100,0.0006477225603041348,30 Jun 2023
Oman,5113071,0.00063407773910835,31 Aug 2023
Kuwait,4670713,0.0005792204213600747,31 Dec 2020
Liberia,4661010,0.0005780171413151529,1 Jul 2021
Mauritania,4475683,0.0005550345296604873,1 Jul 2023
Panama,4337406,0.0005378866419173511,1 Jul 2021
Croatia,3855641,0.00047814241736393993,1 Jul 2022
Eritrea,3748902,0.000464905592802989,1 Jul 2023
Georgia,3736400,0.0004633552055906204,1 Jan 2023
Uruguay,3566550,0.00044229191427556664,30 Jun 2023
Mongolia,3457548,0.0004287744525156403,31 Dec 2022
Bosnia and Herzegovina,3277082,0.00040639465898921994,1 Jul 2022
Puerto Rico (US),3221789,0.00039953771129017215,1 Jul 2022
Armenia,2981200,0.0003697019962816501,1 Jan 2023
Lithuania,2866965,0.0003555355842511811,1 Sep 2023
Jamaica,2825544,0.00035039891901973664,1 Jul 2019
Albania,2761785,0.00034249209305001915,1 Jan 2023
Qatar,2656032,0.0003293775434683831,30 Jun 2023
Namibia,2641857,0.0003276196856268118,1 Jul 2023
Moldova,2512758,0.00031160997208261326,1 Jan 2023
Gambia,2417471,0.0002997933230420626,1 Jul 2022
Botswana,2410338,0.000298908751614625,1 Jul 2021
Lesotho,2306000,0.00028596967778930804,1 Jul 2023
Gabon,2233272,0.00027695059594791134,1 Jul 2021
Slovenia,2117674,0.000262615156740154,1 Apr 2023
Latvia,1882000,0.00023338895646117855,1 Aug 2023
North Macedonia,1832696,0.0002272747114508906,1 Nov 2021
Guinea-Bissau,1781308,0.00022090202723482947,1 Jul 2023
Kosovo,1773971,0.00021999215753580945,31 Dec 2021
Bahrain,1577059,0.00019557287687976078,1 Jul 2023
Equatorial Guinea,1558160,0.00019322919043546758,1 Jul 2022
Estonia,1365884,0.00016938482540224253,1 Jan 2023
Trinidad and Tobago,1365805,0.0001693750285225611,30 Jun 2022
East Timor,1354662,0.00016799317244294,1 Jul 2023
Mauritius,1261041,0.00015638312595364564,30 Jun 2023
Eswatini,1223362,0.00015171051039014895,1 Jul 2023
Djibouti,1001454,0.0001241914473984448,1 Jul 2022
Cyprus,918100,0.00011385462323432946,1 Oct 2021
Fiji,893468,0.00011079998095188963,1 Jul 2021
Bhutan,770276,9.552280118336386e-05,2023
Comoros,758316,9.403962800627793e-05,15 Dec 2017
Guyana,743699,9.222695724294476e-05,1 Jul 2019
Solomon Islands,734887,9.113417111949317e-05,1 Jul 2023
Macau (China),678800,8.417875857909034e-05,30 Jun 2023
Luxembourg,660809,8.194767424556585e-05,1 Jan 2023
Montenegro,616695,7.647704702700664e-05,1 Jan 2023
Suriname,616500,7.645286485564112e-05,1 Jul 2021
Western Sahara,587259,7.28266552510283e-05,1 Jul 2023
Malta,519562,6.443147343086231e-05,21 Nov 2021
Cape Verde,491233,6.091836198155905e-05,16 Jun 2021
Brunei,445400,5.523455962157754e-05,1 Jul 2022
Belize,441471,5.4747319871345885e-05,1 Jul 2022
Bahamas,397360,4.9277064686192305e-05,1 Jul 2022
Iceland,394200,4.888518949893549e-05,1 Jul 2023
Northern Cyprus,382836,4.747592695843345e-05,31 Dec 2020
Maldives,382751,4.746538601194078e-05,13 Sep 2022
Transnistria,360938,4.47603311196519e-05,31 Dec 2022
Vanuatu,301295,3.7363934982449944e-05,1 Jul 2021
French Polynesia (France),279890,3.470947663332586e-05,1 Jul 2021
New Caledonia (France),268510,3.32982299146605e-05,1 Jan 2023
Barbados,267800,3.3210182008662924e-05,31 Dec 2022
Abkhazia,245424,3.0435308847252012e-05,1 Jan 2020
São Tomé and Príncipe,214610,2.6614029726957244e-05,1 Jul 2021
Samoa,205557,2.5491356919920553e-05,6 Nov 2021
Saint Lucia,178696,2.2160293817102424e-05,1 Jul 2018
Guam (US),153836,1.907737699583521e-05,1 Apr 2020
Curacao (Netherlands),148925,1.8468358310829446e-05,1 Jan 2023
Artsakh,148900,1.846525803244925e-05,1 Oct 2019
Kiribati,120740,1.4973104464996121e-05,1 Jul 2021
Grenada,112579,1.3961049590564837e-05,1 Jul 2019
Saint Vincent and the Grenadines,110872,1.3749362582765031e-05,1 Jul 2022
Aruba (Netherlands),106739,1.3236824560950977e-05,30 Sep 2022
Micronesia,105754,1.3114673592771242e-05,1 Jul 2021
Jersey (UK),103267,1.2806257899509312e-05,21 Mar 2021
Antigua and Barbuda,100772,1.2496850117165721e-05,1 Jan 2022
Seychelles,100447,1.2456546498223168e-05,22 Apr 2022
Tonga,100179,1.2423311513987463e-05,1 Jan 2022
US Virgin Islands (US),87146,1.0807074388823521e-05,1 Apr 2020
Isle of Man (UK),84069,1.0425492125788958e-05,30 May 2021
Andorra,83523,1.0357782045965471e-05,30 Jun 2023
